date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:49	25874/25874	---M--	200	added ('OK')	image/png	date:Mon,%2017%20May%202021%2014:32:29%20GMT	https://boldgains.com.ng/wp-content/uploads/2021/05/adebanjo.png	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/uploads/2021/05/adebanjo.png	(from https://boldgains.com.ng/)
13:51:49	6406/6406	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2023:30:08%20GMT	https://boldgains.com.ng/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.7	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/js/dist/vendor/regenerator-runtime.minb36a.js	(from https://boldgains.com.ng/)
13:51:50	16470/16470	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2023:30:07%20GMT	https://boldgains.com.ng/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://boldgains.com.ng/)
13:51:51	12987/12987	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Jul%202021%2020:53:38%20GMT	https://boldgains.com.ng/wp-content/plugins/contact-form-7/includes/js/index.js?ver=5.4.2	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/contact-form-7/includes/js/index7661.js	(from https://boldgains.com.ng/)
13:51:52	5137/5137	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2003%20Aug%202021%2014:34:26%20GMT	https://boldgains.com.ng/wp-content/plugins/extensions-for-cf7/assets/js/conditional-field.js?ver=1.0.1	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/extensions-for-cf7/assets/js/conditional-fieldf269.js	(from https://boldgains.com.ng/)
13:51:53	1378/1378	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2003%20Aug%202021%2014:34:26%20GMT	https://boldgains.com.ng/wp-content/plugins/extensions-for-cf7/assets/js/redirect.js?ver=1.0.1	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/extensions-for-cf7/assets/js/redirectf269.js	(from https://boldgains.com.ng/)
13:51:54	5629/5629	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2014%20Jun%202020%2004:23:28%20GMT	https://boldgains.com.ng/wp-includes/js/imagesloaded.min.js?ver=4.1.4	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/js/imagesloaded.mineda1.js	(from https://boldgains.com.ng/)
13:51:55	24138/24138	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2014%20Jun%202020%2004:23:28%20GMT	https://boldgains.com.ng/wp-includes/js/masonry.min.js?ver=4.2.2	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/js/masonry.min3a05.js	(from https://boldgains.com.ng/)
13:51:56	1819/1819	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2019%20Aug%202016%2004:25:30%20GMT	https://boldgains.com.ng/wp-includes/js/jquery/jquery.masonry.min.js?ver=3.1.2b	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/js/jquery/jquery.masonry.minef70.js	(from https://boldgains.com.ng/)
13:51:58	326669/326669	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20May%202021%2011:35:50%20GMT	https://boldgains.com.ng/wp-content/plugins/thrive-visual-editor/editor/js/dist/frontend.min.js?ver=2.6.9.1	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/thrive-visual-editor/editor/js/dist/frontend.min3171.js	(from https://boldgains.com.ng/)
